"","Tool","Cutoff","Rank","Value","OriginalValue","TP","FN","FP","TN","Precision","Recall","F1score","TPR","TNR","FPR"
"522","Tombo_denovo",20391.0790158243,3973,0.8953992092,0.8954,244,3714,20147,2568661,0.0119660634593693,0.0348232848232848,0.0178116452292454,0.0616472966144517,0.992205942316159,0.00779405768384142
"523","Tombo_denovo",22133.7711797582,4307,0.8802992394,0.8803,281,3696,21852,2568658,0.0126959743369629,0.0395010395010395,0.0192158189487626,0.070656273573045,0.99155084783445,0.00844915216554956
"524","Tombo_denovo",24025.399845575,4676,0.8635992728,0.8636,313,3681,23712,2568658,0.0130280957336108,0.0433991683991684,0.0200402599471418,0.0783675513269905,0.990836976078448,0.00916302392155166
"525","Tombo_denovo",26078.6936420321,5081,0.8467993064,0.8468,348,3665,25730,2568656,0.0133445816396963,0.0475571725571726,0.0208411261748169,0.086718165960628,0.990063381184609,0.00993661881539129
"526","Tombo_denovo",28307.4690305406,5503,0.8305993388,0.8306,380,3648,27927,2568656,0.0134242413537288,0.051975051975052,0.0213374061575262,0.0943396226415094,0.989222338899495,0.0107776611005047
"527","Tombo_denovo",30726.723275107,5964,0.812499375,0.8125,413,3631,30313,2568653,0.0134413851461303,0.0563929313929314,0.0217084994294376,0.102126607319486,0.988310252448106,0.0116897475518939
"528","Tombo_denovo",33352.7353578093,6471,0.7955994088,0.7956,439,3620,32913,2568653,0.0131626289278004,0.0592515592515593,0.0215401513827687,0.108154717910815,0.987317867499786,0.0126821325002139
"529","Tombo_denovo",36203.1755188575,7033,0.7777994444,0.7778,469,3611,35734,2568651,0.01295472750877,0.0615904365904366,0.0214068164666841,0.114950980392157,0.986242883519949,0.0137571164800508
"530","Tombo_denovo",39297.2241583273,7637,0.7602994794,0.7603,504,3596,38793,2568651,0.0128254065195816,0.0654885654885655,0.0214500031919648,0.122926829268293,0.985079322709792,0.0149206772902084
"531","Tombo_denovo",42655.7008996475,8247,0.7443995112,0.7444,532,3589,42123,2568649,0.0124721603563474,0.0673076923076923,0.0210447200300639,0.129094879883523,0.983815485080146,0.0161845149198536
"532","Tombo_denovo",46301.2046832989,8948,0.7260995478,0.7261,562,3576,45739,2568649,0.0121379667825749,0.0706860706860707,0.0207182649916836,0.135814403093282,0.982445865573226,0.0175541344267744
"533","Tombo_denovo",50258.2658334059,9657,0.7086995826,0.7087,596,3564,49662,2568645,0.0118588085478929,0.0738045738045738,0.0204342692681937,0.143269230769231,0.980963807391848,0.0190361926081523
"534","Tombo_denovo",54553.5111204655,10410,0.6911996176,0.6912,625,3553,53928,2568645,0.0114567484831265,0.0766632016632017,0.0199344420396975,0.149593106749641,0.979356446956963,0.0206435530430369
"535","Tombo_denovo",59215.8429309073,11285,0.6730996538,0.6731,671,3541,58544,2568643,0.0113315882799966,0.0797817047817048,0.0198446000684071,0.159306742640076,0.977621556453164,0.0223784435468365
"536","Tombo_denovo",64276.6337491051,12282,0.6570996858,0.6571,706,3528,63570,2568643,0.0109838820088369,0.0831600831600832,0.0194047603505225,0.166745394426075,0.975737789509199,0.0242622104908012
"537","Tombo_denovo",69769.9372604927,13333,0.6392997214,0.6393,737,3515,69032,2568640,0.0105634307500466,0.0865384615384615,0.0188285320529288,0.173330197554092,0.973697496057406,0.0263025039425942
"538","Tombo_denovo",75732.7174962839,14428,0.621999756,0.622,771,3505,74961,2568640,0.0101806369830455,0.0891372141372141,0.0182741291434537,0.180308699719364,0.971491008720303,0.0285089912796966
"539","Tombo_denovo",82205.0975616922,15610,0.6047997904,0.6048,808,3494,81397,2568637,0.00982908582203029,0.091995841995842,0.0177605827104423,0.187819618781962,0.969105076974463,0.0308949230255367
"540","Tombo_denovo",89230.6296213248,16890,0.5881998236,0.5882,844,3484,88386,2568637,0.00945870223019164,0.0945945945945946,0.0171977655712843,0.195009242144177,0.966524892533187,0.0334751074668131
"541","Tombo_denovo",96856.5879584629,18349,0.5723998552,0.5724,881,3469,95975,2568632,0.00909597753365821,0.0984927234927235,0.0166539346896463,0.202528735632184,0.963734930016633,0.0362650699833666
"542","Tombo_denovo",105134.287080201,19871,0.5565998868,0.5566,928,3452,104206,2568632,0.00882683052104933,0.102910602910603,0.0162590892382817,0.211872146118721,0.960724423064819,0.0392755769351813
"543","Tombo_denovo",114119.427008954,21544,0.5413999172,0.5414,971,3433,113148,2568629,0.00850866201070812,0.107848232848233,0.0157729228314355,0.220481380563124,0.957470816345478,0.0425291836545224
"544","Tombo_denovo",123872.468083768,23303,0.5266999466,0.5267,1023,3409,122849,2568629,0.00825852492895893,0.114085239085239,0.0154021056749954,0.230821299638989,0.953962067582811,0.0460379324171891
"545","Tombo_denovo",134459.037793453,25284,0.5125999748,0.5126,1068,3395,133391,2568624,0.0079429417145747,0.117723492723493,0.0148817915511034,0.239300918664575,0.950171441976631,0.0498285580233687
"546","Tombo_denovo",145950.372379077,27242,0.5,0.5,1107,3382,144843,2568624,0.00758478931140802,0.121101871101871,0.0142754839479881,0.246602806861216,0.946084808581584,0.0539151914184159
"547","Tombo_denovo",158423.79617734,29559,0.487000026,0.487,1150,3359,157273,2568619,0.00725904698181451,0.127079002079002,0.0137335989757595,0.255045464626303,0.941677686643047,0.058322313356953
"548","Tombo_denovo",171963.241930291,31899,0.4742000516,0.4742,1203,3336,170760,2568619,0.00699569093351477,0.133056133056133,0.0132925021203312,0.265036351619299,0.936937106618612,0.0630628933813876
"549","Tombo_denovo",186659.815562516,34424,0.4623000754,0.4623,1246,3320,185413,2568611,0.00667527416304598,0.137214137214137,0.0127311937158347,0.272886552781428,0.931831200297069,0.0681687997029313
"550","Tombo_denovo",202612.409226132,37140,0.4508000984,0.4508,1293,3301,201319,2568611,0.00638165557814937,0.142151767151767,0.0122149426185027,0.281454070526774,0.926340607960098,0.0736593920399018
"551","Tombo_denovo",219928.366738735,39970,0.44000012,0.44,1345,3280,218583,2568607,0.00611563784511295,0.147609147609148,0.0117446784750526,0.290810810810811,0.920444540691633,0.0795554593083669
"552","Tombo_denovo",238724.20589197,43150,0.4296001408,0.4296,1398,3252,237326,2568607,0.00585613511837938,0.154885654885655,0.0112855695197411,0.300645161290323,0.914109692308973,0.0858903076910271
"553","Tombo_denovo",259126.402491101,46551,0.4196001608,0.4196,1447,3232,257679,2568602,0.00558415597045453,0.16008316008316,0.0107918611279766,0.30925411412695,0.907312746237443,0.0926872537625567
"554","Tombo_denovo",281272.241401301,50190,0.41000018,0.41,1497,3209,279775,2568602,0.00532225034841719,0.166060291060291,0.0103139378689244,0.318104547386315,0.900029014901224,0.0999709850987757
"555","Tombo_denovo",305310.740327315,54133,0.4000002,0.4,1554,3181,303756,2568593,0.00508990861747077,0.173336798336798,0.00988942158536153,0.328194297782471,0.892231948454007,0.107768051545993
"556","Tombo_denovo",331403.652542521,58425,0.3919002162,0.3919,1626,3150,329777,2568593,0.00490641303790249,0.181392931392931,0.009554393723592,0.340452261306533,0.883895524032803,0.116104475967197
"557","Tombo_denovo",359726.555314694,63155,0.3833002334,0.3833,1690,3124,358036,2568583,0.00469802015978828,0.188149688149688,0.00916714059745638,0.351059410054009,0.874982541216696,0.125017458783304
"558","Tombo_denovo",390470.031352393,68140,0.37500025,0.375,1746,3096,388724,2568583,0.00447153430481215,0.195426195426195,0.00874302012417109,0.360594795539033,0.865475038975915,0.134524961024085
"559","Tombo_denovo",423840.95122185,73562,0.3667002666,0.3667,1812,3065,422028,2568576,0.00427519818799547,0.203482328482328,0.00837444780902862,0.371539881074431,0.855345965842662,0.144654034157338
"560","Tombo_denovo",460063.865363635,79403,0.3586002828,0.3586,1881,3028,458182,2568576,0.004088570478391,0.213097713097713,0.00802320482157563,0.383173762477083,0.844569523438629,0.155430476561371
"561","Tombo_denovo",499382.5150759,85895,0.3507002986,0.3507,1964,2981,497418,2568568,0.00393286101621604,0.22531185031185,0.00773077980686653,0.397168857431749,0.833114081219572,0.166885918780428
"562","Tombo_denovo",542061.472631454,92994,0.3431003138,0.3431,2041,2942,540020,2568568,0.00376525889152697,0.235446985446985,0.00741198560206607,0.409592614890628,0.820954865387912,0.179045134612088
"563","Tombo_denovo",588387.92156494,100654,0.3357003286,0.3357,2130,2897,586257,2568561,0.00362006638487934,0.247141372141372,0.00713561206906441,0.423711955440621,0.808080900668443,0.191919099331557
"564","Tombo_denovo",638673.589109498,108975,0.3284003432,0.3284,2213,2858,636460,2568561,0.0034649969546231,0.257276507276507,0.00683790113766424,0.436403076316308,0.794465759847937,0.205534240152063
"565","Tombo_denovo",693256.843786156,118295,0.3209003582,0.3209,2310,2804,690946,2568557,0.00333210242680914,0.271309771309771,0.00658335114816042,0.451701212358232,0.780079572219747,0.219920427780253
"566","Tombo_denovo",752504.972260479,128359,0.3136003728,0.3136,2408,2760,750096,2568557,0.00319998299012364,0.282744282744283,0.00632834439265726,0.46594427244582,0.764926657101973,0.235073342898027
"567","Tombo_denovo",816816.650787244,139395,0.3063003874,0.3063,2551,2687,814265,2568548,0.00312310238780827,0.301715176715177,0.00618221170654769,0.487017945780832,0.748998401079141,0.251001598920859
"568","Tombo_denovo",886624.627873349,151550,0.2992004016,0.2992,2645,2646,883979,2568548,0.00298322626051178,0.312370062370062,0.00591001018005383,0.4999054999055,0.732260553016244,0.267739446983756
"569","Tombo_denovo",962398.636210355,164840,0.292000416,0.292,2777,2586,959621,2568536,0.00288550059330963,0.327962577962578,0.00572066924145377,0.517807197464106,0.71473980535193,0.28526019464807
"570","Tombo_denovo",1044648.55347088,179441,0.2848004304,0.2848,2918,2524,1041730,2568536,0.00279328539374028,0.344074844074844,0.00554158283599113,0.536199926497611,0.696426521131218,0.303573478868782
"571","Tombo_denovo",1133927.83323757,195472,0.2778004444,0.2778,3069,2460,1130858,2568524,0.00270652343581201,0.360706860706861,0.00537273317142345,0.555073250135648,0.677329539553352,0.322670460446648
"572","Tombo_denovo",1230837.22915115,213211,0.2707004586,0.2707,3253,2391,1227584,2568524,0.0026429169743841,0.378638253638254,0.00524919426828115,0.57636428065202,0.657454903640496,0.342545096359504
"573","Tombo_denovo",1336028.83733702,232655,0.2636004728,0.2636,3446,2299,1332582,2568507,0.00257928726044664,0.402546777546778,0.00512573179192659,0.599825935596171,0.636829664925464,0.363170335074536
"574","Tombo_denovo",1450210.48431166,254020,0.2566004868,0.2566,3652,2229,1446558,2568507,0.00251825597672061,0.420738045738046,0.00500654612357125,0.620982826049991,0.615477672416062,0.384522327583938
